CustomerID,CustomerName,Country,Email,PhoneNumber,SignupDate,LastPurchaseDate,LoyaltyPoints,CustomerSegment,PreferredStoreID
1,Customer 1,USA,customer1@example.com,+1234567891,2023-05-27 08:58:54.104192,2024-05-26 08:58:54.104406,957,Regular,8
2,Customer 2,USA,customer2@example.com,+1234567892,2022-07-31 08:58:54.104210,2024-04-30 08:58:54.104410,490,Regular,6
3,Customer 3,Canada,customer3@example.com,+1234567893,2022-11-25 08:58:54.104221,2023-08-28 08:58:54.104412,978,VIP,8
4,Customer 4,France,customer4@example.com,+1234567894,2022-08-09 08:58:54.104223,2023-07-26 08:58:54.104414,28,Wholesale,10
5,Customer 5,Germany,customer5@example.com,+1234567895,2022-09-16 08:58:54.104225,2024-04-05 08:58:54.104416,803,VIP,7
6,Customer 6,UK,customer6@example.com,+1234567896,2023-06-12 08:58:54.104227,2024-01-20 08:58:54.104418,309,Wholesale,7
7,Customer 7,France,customer7@example.com,+1234567897,2022-10-03 08:58:54.104229,2023-09-10 08:58:54.104420,794,Wholesale,4
8,Customer 8,UK,customer8@example.com,+1234567898,2022-12-25 08:58:54.104231,2023-09-06 08:58:54.104422,369,Regular,10
9,Customer 9,UK,customer9@example.com,+1234567899,2022-10-18 08:58:54.104242,2023-10-18 08:58:54.104425,359,Wholesale,10
10,Customer 10,Germany,customer10@example.com,+12345678910,2022-08-14 08:58:54.104244,2023-11-27 08:58:54.104427,554,VIP,4
11,Customer 11,USA,customer11@example.com,+12345678911,2023-03-06 08:58:54.104246,2024-01-04 08:58:54.104428,814,VIP,5
12,Customer 12,Canada,customer12@example.com,+12345678912,2023-01-18 08:58:54.104248,2023-11-20 08:58:54.104430,197,Regular,5
13,Customer 13,UK,customer13@example.com,+12345678913,2023-06-04 08:58:54.104250,2023-12-12 08:58:54.104432,540,Wholesale,2
14,Customer 14,France,customer14@example.com,+12345678914,2023-02-27 08:58:54.104251,2024-01-11 08:58:54.104434,127,VIP,4
15,Customer 15,Germany,customer15@example.com,+12345678915,2022-09-18 08:58:54.104254,2023-11-01 08:58:54.104435,171,Wholesale,10
16,Customer 16,Germany,customer16@example.com,+12345678916,2022-08-26 08:58:54.104257,2024-03-12 08:58:54.104437,83,VIP,6
17,Customer 17,France,customer17@example.com,+12345678917,2023-01-03 08:58:54.104260,2023-06-30 08:58:54.104438,62,VIP,2
18,Customer 18,UK,customer18@example.com,+12345678918,2022-09-11 08:58:54.104263,2024-01-15 08:58:54.104440,842,VIP,10
19,Customer 19,UK,customer19@example.com,+12345678919,2023-03-05 08:58:54.104266,2024-01-15 08:58:54.104442,202,VIP,8
20,Customer 20,UK,customer20@example.com,+12345678920,2023-03-24 08:58:54.104270,2024-06-06 08:58:54.104444,649,Regular,6
21,Customer 21,France,customer21@example.com,+12345678921,2022-08-24 08:58:54.104273,2024-05-10 08:58:54.104445,219,Regular,5
22,Customer 22,UK,customer22@example.com,+12345678922,2023-02-21 08:58:54.104276,2023-07-25 08:58:54.104447,739,Wholesale,3
23,Customer 23,France,customer23@example.com,+12345678923,2023-06-12 08:58:54.104279,2024-02-13 08:58:54.104449,843,Wholesale,1
24,Customer 24,Germany,customer24@example.com,+12345678924,2023-02-06 08:58:54.104282,2024-05-10 08:58:54.104450,864,Regular,9
25,Customer 25,France,customer25@example.com,+12345678925,2022-07-08 08:58:54.104286,2024-06-09 08:58:54.104452,166,VIP,8
26,Customer 26,Canada,customer26@example.com,+12345678926,2022-08-16 08:58:54.104288,2023-12-22 08:58:54.104454,31,Wholesale,2
27,Customer 27,USA,customer27@example.com,+12345678927,2022-07-03 08:58:54.104289,2024-03-03 08:58:54.104456,755,Wholesale,2
28,Customer 28,USA,customer28@example.com,+12345678928,2022-12-09 08:58:54.104291,2023-08-15 08:58:54.104457,918,Regular,2
29,Customer 29,Canada,customer29@example.com,+12345678929,2023-03-16 08:58:54.104293,2023-06-30 08:58:54.104459,382,Wholesale,10
30,Customer 30,France,customer30@example.com,+12345678930,2022-07-29 08:58:54.104294,2023-09-27 08:58:54.104461,859,Regular,8
31,Customer 31,USA,customer31@example.com,+12345678931,2023-04-04 08:58:54.104297,2024-01-12 08:58:54.104463,825,VIP,5
32,Customer 32,Canada,customer32@example.com,+12345678932,2022-10-12 08:58:54.104299,2024-05-06 08:58:54.104464,21,Wholesale,9
33,Customer 33,UK,customer33@example.com,+12345678933,2023-03-18 08:58:54.104300,2023-12-13 08:58:54.104466,737,VIP,7
34,Customer 34,Canada,customer34@example.com,+12345678934,2023-01-22 08:58:54.104302,2023-08-16 08:58:54.104468,829,VIP,2
